source,target,weight
LD.Ptepar1.710963,outsidemouthT6.U2.536486,0.9574744813379884
LD.Ptepar1.710963,E3B08.Bronch1.PreWash.V1V2.481219,0.94703914766999342
LD.Ptepar1.710963,E3B06.BAL.A.V1V2.481262,0.91974986971595241
LD.Ptepar1.710963,outsidemouthT6.U3.536504,0.96133845011111307
LD.Ptepar1.710963,outsidemouthT4.U5.536446,0.966526459166134
LD.Ptepar1.710963,Ab.liq.T6.U5.536334,0.95524018768504027
LD.Ptepar1.710963,H56Do.735887,0.91716306321073904
LD.Ptepar1.710963,H25Di.735959,0.91729777486565156
LD.Ptepar1.710963,H60Dh.736063,0.91269085577948261
LD.Ptepar1.710963,outsidemouthT6.U5.536490,0.96379261708259178
LD.Ptepar1.710963,H56Tv.736008,0.92924674859688283
LD.Ptepar1.710963,H35Do.736054,0.93858164756123275
LD.Ptepar1.710963,Ab.swab.T6.U3.536706,0.97026796336289611
LD.Ptepar1.710963,H45Di.735943,0.93188290832990617
LD.Ptepar1.710963,LD.NBS1053E.710972,0.90891752536777215
LD.Ptepar1.710963,H62Di.735898,0.93834191807882217
LD.Ptepar1.710963,SKB7.640196,0.96710423407870894
LD.Ptepar1.710963,H18Dh.736013,0.93381531934417605
LD.Ptepar1.710963,Ab.swab.T7.U2.536231,0.96456712103813003
LD.Ptepar1.710963,H22Di.735909,0.93950121166763967
LD.Ptepar1.710963,H56Di.736010,0.93471616193872853
LD.Ptepar1.710963,H25Do.736036,0.94204643513675124
LD.Ptepar1.710963,H55Do.735971,0.94607696440896705
LD.Ptepar1.710963,H19Fr.735936,0.93021096771993639
LD.Ptepar1.710963,belly.U.T4.4.536617,1.0
LD.Ptepar1.710963,244.664634,0.95113095104387357
LD.Ptepar1.710963,BD.NBS1052.710927,0.95935711341576901
LD.Ptepar1.710963,SKB8.640193,0.97476438622983042
LD.Ptepar1.710963,H22Tv.735985,0.94054814001930098
LD.Ptepar1.710963,H43Fr.736000,0.93706699239114744
LD.Ptepar1.710963,H59Di.736039,0.93840519599000416
